group,bitstringSize,algorithm,evaluationFunction,maximumIterations,actualIterations,maximumTheoreticalValue,actualValue,executionTimeMillis
5,25,MIMIC,SixPeaksEvaluationFunction,10000,434,46.0,46.0,277
5,25,RHC,FlipFlopEvaluationFunction,10000,10000,24.0,18.0,1
5,25,SA,FlipFlopEvaluationFunction,10000,4849,24.0,24.0,1
5,25,GA,FlipFlopEvaluationFunction,10000,2343,24.0,24.0,81
5,25,MIMIC,FlipFlopEvaluationFunction,10000,10000,24.0,23.0,6362
5,25,RHC,FourPeaksEvaluationFunction,10000,10000,46.0,25.0,1
5,25,SA,FourPeaksEvaluationFunction,10000,812,46.0,46.0,0
5,25,GA,FourPeaksEvaluationFunction,10000,151,46.0,46.0,5
5,25,MIMIC,FourPeaksEvaluationFunction,10000,106,46.0,46.0,68
5,25,RHC,SixPeaksEvaluationFunction,10000,431,46.0,46.0,0
5,25,SA,SixPeaksEvaluationFunction,10000,888,46.0,46.0,0
5,25,GA,SixPeaksEvaluationFunction,10000,548,46.0,46.0,19
5,25,MIMIC,SixPeaksEvaluationFunction,10000,53,46.0,46.0,34
5,25,RHC,FlipFlopEvaluationFunction,10000,10000,24.0,20.0,1
5,25,SA,FlipFlopEvaluationFunction,10000,767,24.0,24.0,0
5,25,GA,FlipFlopEvaluationFunction,10000,10000,24.0,23.0,349
5,25,MIMIC,FlipFlopEvaluationFunction,10000,10000,24.0,23.0,6408
5,25,RHC,FourPeaksEvaluationFunction,10000,10000,46.0,25.0,0
5,25,SA,FourPeaksEvaluationFunction,10000,864,46.0,46.0,1
5,25,GA,FourPeaksEvaluationFunction,10000,163,46.0,46.0,5
5,25,MIMIC,FourPeaksEvaluationFunction,10000,149,46.0,46.0,109
5,25,RHC,SixPeaksEvaluationFunction,10000,10000,46.0,25.0,1
5,25,SA,SixPeaksEvaluationFunction,10000,853,46.0,46.0,0
5,25,GA,SixPeaksEvaluationFunction,10000,58,46.0,46.0,2
5,25,MIMIC,SixPeaksEvaluationFunction,10000,84,46.0,46.0,53
5,25,RHC,FlipFlopEvaluationFunction,10000,10000,24.0,19.0,1
5,25,SA,FlipFlopEvaluationFunction,10000,1375,24.0,24.0,0
5,25,GA,FlipFlopEvaluationFunction,10000,30,24.0,24.0,1
5,25,MIMIC,FlipFlopEvaluationFunction,10000,3651,24.0,24.0,2305
5,25,RHC,FourPeaksEvaluationFunction,10000,10000,46.0,25.0,1
5,25,SA,FourPeaksEvaluationFunction,10000,706,46.0,46.0,0
5,25,GA,FourPeaksEvaluationFunction,10000,9,46.0,46.0,0
5,25,MIMIC,FourPeaksEvaluationFunction,10000,331,46.0,46.0,214
5,25,RHC,SixPeaksEvaluationFunction,10000,10000,46.0,25.0,1
5,25,SA,SixPeaksEvaluationFunction,10000,10000,46.0,25.0,2
5,25,GA,SixPeaksEvaluationFunction,10000,150,46.0,46.0,5
5,25,MIMIC,SixPeaksEvaluationFunction,10000,225,46.0,46.0,148
5,25,RHC,FlipFlopEvaluationFunction,10000,10000,24.0,21.0,1
5,25,SA,FlipFlopEvaluationFunction,10000,837,24.0,24.0,0
5,25,GA,FlipFlopEvaluationFunction,10000,10000,24.0,23.0,351
5,25,MIMIC,FlipFlopEvaluationFunction,10000,2552,24.0,24.0,1620
5,25,RHC,FourPeaksEvaluationFunction,10000,455,46.0,46.0,0
5,25,SA,FourPeaksEvaluationFunction,10000,1184,46.0,46.0,1
5,25,GA,FourPeaksEvaluationFunction,10000,196,46.0,46.0,7
5,25,MIMIC,FourPeaksEvaluationFunction,10000,441,46.0,46.0,283
5,25,RHC,SixPeaksEvaluationFunction,10000,10000,46.0,25.0,1
5,25,SA,SixPeaksEvaluationFunction,10000,10000,46.0,25.0,3
5,25,GA,SixPeaksEvaluationFunction,10000,120,46.0,46.0,4
5,25,MIMIC,SixPeaksEvaluationFunction,10000,95,46.0,46.0,60
5,25,RHC,FlipFlopEvaluationFunction,10000,10000,24.0,19.0,0
5,25,SA,FlipFlopEvaluationFunction,10000,3747,24.0,24.0,1
5,25,GA,FlipFlopEvaluationFunction,10000,10000,24.0,22.0,349
5,25,MIMIC,FlipFlopEvaluationFunction,10000,10000,24.0,23.0,6304
5,25,RHC,FourPeaksEvaluationFunction,10000,10000,46.0,25.0,1
5,25,SA,FourPeaksEvaluationFunction,10000,1087,46.0,46.0,0
5,25,GA,FourPeaksEvaluationFunction,10000,371,46.0,46.0,13
5,25,MIMIC,FourPeaksEvaluationFunction,10000,76,46.0,46.0,47
5,25,RHC,SixPeaksEvaluationFunction,10000,10000,46.0,25.0,1
5,25,SA,SixPeaksEvaluationFunction,10000,731,46.0,46.0,0
5,25,GA,SixPeaksEvaluationFunction,10000,72,46.0,46.0,3
5,25,MIMIC,SixPeaksEvaluationFunction,10000,21,46.0,46.0,13
5,25,RHC,FlipFlopEvaluationFunction,10000,10000,24.0,20.0,1
5,25,SA,FlipFlopEvaluationFunction,10000,2096,24.0,24.0,1
5,25,GA,FlipFlopEvaluationFunction,10000,42,24.0,24.0,1
5,25,MIMIC,FlipFlopEvaluationFunction,10000,10000,24.0,23.0,6324
5,25,RHC,FourPeaksEvaluationFunction,10000,682,46.0,46.0,0
5,25,SA,FourPeaksEvaluationFunction,10000,665,46.0,46.0,0
5,25,GA,FourPeaksEvaluationFunction,10000,109,46.0,46.0,4
5,25,MIMIC,FourPeaksEvaluationFunction,10000,207,46.0,46.0,130
5,25,RHC,SixPeaksEvaluationFunction,10000,10000,46.0,25.0,1
5,25,SA,SixPeaksEvaluationFunction,10000,820,46.0,46.0,0
5,25,GA,SixPeaksEvaluationFunction,10000,401,46.0,46.0,14
5,25,MIMIC,SixPeaksEvaluationFunction,10000,476,46.0,46.0,308
5,25,RHC,FlipFlopEvaluationFunction,10000,10000,24.0,20.0,1
5,25,SA,FlipFlopEvaluationFunction,10000,1052,24.0,24.0,0
5,25,GA,FlipFlopEvaluationFunction,10000,10000,24.0,23.0,354
5,25,MIMIC,FlipFlopEvaluationFunction,10000,5501,24.0,24.0,3480
5,25,RHC,FourPeaksEvaluationFunction,10000,10000,46.0,25.0,1
5,25,SA,FourPeaksEvaluationFunction,10000,10000,46.0,25.0,2
5,25,GA,FourPeaksEvaluationFunction,10000,289,46.0,46.0,10
5,25,MIMIC,FourPeaksEvaluationFunction,10000,160,46.0,46.0,101
5,25,RHC,SixPeaksEvaluationFunction,10000,10000,46.0,25.0,1
5,25,SA,SixPeaksEvaluationFunction,10000,911,46.0,46.0,0
5,25,GA,SixPeaksEvaluationFunction,10000,10000,46.0,25.0,344
5,25,MIMIC,SixPeaksEvaluationFunction,10000,125,46.0,46.0,81
5,25,RHC,FlipFlopEvaluationFunction,10000,10000,24.0,21.0,1
5,25,SA,FlipFlopEvaluationFunction,10000,10000,24.0,23.0,2
5,25,GA,FlipFlopEvaluationFunction,10000,10000,24.0,22.0,349
5,25,MIMIC,FlipFlopEvaluationFunction,10000,10000,24.0,23.0,6374
5,25,RHC,FourPeaksEvaluationFunction,10000,10000,46.0,25.0,0
5,25,SA,FourPeaksEvaluationFunction,10000,902,46.0,46.0,1
5,25,GA,FourPeaksEvaluationFunction,10000,117,46.0,46.0,4
5,25,MIMIC,FourPeaksEvaluationFunction,10000,273,46.0,46.0,170
5,25,RHC,SixPeaksEvaluationFunction,10000,380,46.0,46.0,0
5,25,SA,SixPeaksEvaluationFunction,10000,850,46.0,46.0,0
5,25,GA,SixPeaksEvaluationFunction,10000,139,46.0,46.0,5
5,25,MIMIC,SixPeaksEvaluationFunction,10000,125,46.0,46.0,86
5,25,RHC,FlipFlopEvaluationFunction,10000,10000,24.0,20.0,1
5,25,SA,FlipFlopEvaluationFunction,10000,1108,24.0,24.0,0
5,25,GA,FlipFlopEvaluationFunction,10000,26,24.0,24.0,1
5,25,MIMIC,FlipFlopEvaluationFunction,10000,4210,24.0,24.0,2991
5,25,RHC,FourPeaksEvaluationFunction,10000,10000,46.0,25.0,1
5,25,SA,FourPeaksEvaluationFunction,10000,1055,46.0,46.0,0
5,25,GA,FourPeaksEvaluationFunction,10000,285,46.0,46.0,14
5,25,MIMIC,FourPeaksEvaluationFunction,10000,317,46.0,46.0,236
5,25,RHC,SixPeaksEvaluationFunction,10000,10000,46.0,25.0,1
5,25,SA,SixPeaksEvaluationFunction,10000,811,46.0,46.0,0
5,25,GA,SixPeaksEvaluationFunction,10000,216,46.0,46.0,9
5,25,MIMIC,SixPeaksEvaluationFunction,10000,14,46.0,46.0,10
5,25,RHC,FlipFlopEvaluationFunction,10000,10000,24.0,18.0,1
5,25,SA,FlipFlopEvaluationFunction,10000,945,24.0,24.0,1
5,25,GA,FlipFlopEvaluationFunction,10000,33,24.0,24.0,1
5,25,MIMIC,FlipFlopEvaluationFunction,10000,1395,24.0,24.0,918
5,25,RHC,FourPeaksEvaluationFunction,10000,10000,46.0,25.0,1
5,25,SA,FourPeaksEvaluationFunction,10000,1009,46.0,46.0,0
5,25,GA,FourPeaksEvaluationFunction,10000,405,46.0,46.0,14
5,25,MIMIC,FourPeaksEvaluationFunction,10000,360,46.0,46.0,229
5,25,RHC,SixPeaksEvaluationFunction,10000,10000,46.0,25.0,1
5,25,SA,SixPeaksEvaluationFunction,10000,849,46.0,46.0,0
5,25,GA,SixPeaksEvaluationFunction,10000,132,46.0,46.0,4
5,25,MIMIC,SixPeaksEvaluationFunction,10000,24,46.0,46.0,16
5,25,RHC,FlipFlopEvaluationFunction,10000,10000,24.0,20.0,1
5,25,SA,FlipFlopEvaluationFunction,10000,1258,24.0,24.0,1
5,25,GA,FlipFlopEvaluationFunction,10000,25,24.0,24.0,1
5,25,MIMIC,FlipFlopEvaluationFunction,10000,124,24.0,24.0,81
5,25,RHC,FourPeaksEvaluationFunction,10000,10000,46.0,25.0,1
5,25,SA,FourPeaksEvaluationFunction,10000,903,46.0,46.0,0
5,25,GA,FourPeaksEvaluationFunction,10000,88,46.0,46.0,3
5,25,MIMIC,FourPeaksEvaluationFunction,10000,380,46.0,46.0,251
5,25,RHC,SixPeaksEvaluationFunction,10000,10000,46.0,25.0,1
5,25,SA,SixPeaksEvaluationFunction,10000,1175,46.0,46.0,0
5,25,GA,SixPeaksEvaluationFunction,10000,277,46.0,46.0,9
5,25,MIMIC,SixPeaksEvaluationFunction,10000,423,46.0,46.0,270
5,25,RHC,FlipFlopEvaluationFunction,10000,10000,24.0,22.0,1
5,25,SA,FlipFlopEvaluationFunction,10000,947,24.0,24.0,0
5,25,GA,FlipFlopEvaluationFunction,10000,40,24.0,24.0,2
5,25,MIMIC,FlipFlopEvaluationFunction,10000,3777,24.0,24.0,2403
5,25,RHC,FourPeaksEvaluationFunction,10000,10000,46.0,25.0,1
5,25,SA,FourPeaksEvaluationFunction,10000,1232,46.0,46.0,0
5,25,GA,FourPeaksEvaluationFunction,10000,262,46.0,46.0,9
5,25,MIMIC,FourPeaksEvaluationFunction,10000,32,46.0,46.0,20
5,25,RHC,SixPeaksEvaluationFunction,10000,10000,46.0,25.0,1
5,25,SA,SixPeaksEvaluationFunction,10000,899,46.0,46.0,1
5,25,GA,SixPeaksEvaluationFunction,10000,397,46.0,46.0,14
5,25,MIMIC,SixPeaksEvaluationFunction,10000,418,46.0,46.0,270
5,25,RHC,FlipFlopEvaluationFunction,10000,10000,24.0,21.0,1
5,25,SA,FlipFlopEvaluationFunction,10000,6077,24.0,24.0,1
5,25,GA,FlipFlopEvaluationFunction,10000,27,24.0,24.0,1
5,25,MIMIC,FlipFlopEvaluationFunction,10000,919,24.0,24.0,590
5,25,RHC,FourPeaksEvaluationFunction,10000,10000,46.0,25.0,1
5,25,SA,FourPeaksEvaluationFunction,10000,1155,46.0,46.0,0
5,25,GA,FourPeaksEvaluationFunction,10000,100,46.0,46.0,3
5,25,MIMIC,FourPeaksEvaluationFunction,10000,149,46.0,46.0,100
5,25,RHC,SixPeaksEvaluationFunction,10000,193,46.0,46.0,0
5,25,SA,SixPeaksEvaluationFunction,10000,750,46.0,46.0,0
5,25,GA,SixPeaksEvaluationFunction,10000,248,46.0,46.0,9
5,25,MIMIC,SixPeaksEvaluationFunction,10000,11,46.0,46.0,7
5,25,RHC,FlipFlopEvaluationFunction,10000,10000,24.0,22.0,1
5,25,SA,FlipFlopEvaluationFunction,10000,3766,24.0,24.0,1
5,25,GA,FlipFlopEvaluationFunction,10000,59,24.0,24.0,2
5,25,MIMIC,FlipFlopEvaluationFunction,10000,3862,24.0,24.0,2444
5,25,RHC,FourPeaksEvaluationFunction,10000,10000,46.0,25.0,1
5,25,SA,FourPeaksEvaluationFunction,10000,10000,46.0,25.0,3
5,25,GA,FourPeaksEvaluationFunction,10000,447,46.0,46.0,15
5,25,MIMIC,FourPeaksEvaluationFunction,10000,184,46.0,46.0,116
5,25,RHC,SixPeaksEvaluationFunction,10000,387,46.0,46.0,0
5,25,SA,SixPeaksEvaluationFunction,10000,611,46.0,46.0,0
5,25,GA,SixPeaksEvaluationFunction,10000,341,46.0,46.0,12
5,25,MIMIC,SixPeaksEvaluationFunction,10000,37,46.0,46.0,24
5,25,RHC,FlipFlopEvaluationFunction,10000,10000,24.0,22.0,0
5,25,SA,FlipFlopEvaluationFunction,10000,672,24.0,24.0,1
5,25,GA,FlipFlopEvaluationFunction,10000,2392,24.0,24.0,83
5,25,MIMIC,FlipFlopEvaluationFunction,10000,541,24.0,24.0,341
5,25,RHC,FourPeaksEvaluationFunction,10000,10000,46.0,25.0,1
5,25,SA,FourPeaksEvaluationFunction,10000,865,46.0,46.0,0
5,25,GA,FourPeaksEvaluationFunction,10000,282,46.0,46.0,10
5,25,MIMIC,FourPeaksEvaluationFunction,10000,305,46.0,46.0,194
5,25,RHC,SixPeaksEvaluationFunction,10000,10000,46.0,25.0,1
5,25,SA,SixPeaksEvaluationFunction,10000,738,46.0,46.0,1
5,25,GA,SixPeaksEvaluationFunction,10000,79,46.0,46.0,2
5,25,MIMIC,SixPeaksEvaluationFunction,10000,131,46.0,46.0,91
5,25,RHC,FlipFlopEvaluationFunction,10000,10000,24.0,20.0,1
5,25,SA,FlipFlopEvaluationFunction,10000,1147,24.0,24.0,0
5,25,GA,FlipFlopEvaluationFunction,10000,37,24.0,24.0,2
5,25,MIMIC,FlipFlopEvaluationFunction,10000,4,24.0,24.0,3
5,25,RHC,FourPeaksEvaluationFunction,10000,269,46.0,46.0,0
5,25,SA,FourPeaksEvaluationFunction,10000,746,46.0,46.0,0
5,25,GA,FourPeaksEvaluationFunction,10000,438,46.0,46.0,16
5,25,MIMIC,FourPeaksEvaluationFunction,10000,299,46.0,46.0,196
5,25,RHC,SixPeaksEvaluationFunction,10000,10000,46.0,25.0,1
5,25,SA,SixPeaksEvaluationFunction,10000,10000,46.0,25.0,3
5,25,GA,SixPeaksEvaluationFunction,10000,438,46.0,46.0,15
5,25,MIMIC,SixPeaksEvaluationFunction,10000,431,46.0,46.0,283
5,25,RHC,FlipFlopEvaluationFunction,10000,10000,24.0,20.0,1
5,25,SA,FlipFlopEvaluationFunction,10000,10000,24.0,23.0,2
5,25,GA,FlipFlopEvaluationFunction,10000,10000,24.0,23.0,347
5,25,MIMIC,FlipFlopEvaluationFunction,10000,10000,24.0,23.0,6315
5,25,RHC,FourPeaksEvaluationFunction,10000,558,46.0,46.0,0
5,25,SA,FourPeaksEvaluationFunction,10000,867,46.0,46.0,0
5,25,GA,FourPeaksEvaluationFunction,10000,537,46.0,46.0,19
5,25,MIMIC,FourPeaksEvaluationFunction,10000,242,46.0,46.0,150
5,25,RHC,SixPeaksEvaluationFunction,10000,10000,46.0,25.0,1
5,25,SA,SixPeaksEvaluationFunction,10000,1310,46.0,46.0,1
5,25,GA,SixPeaksEvaluationFunction,10000,207,46.0,46.0,7
5,25,MIMIC,SixPeaksEvaluationFunction,10000,560,46.0,46.0,372
5,25,RHC,FlipFlopEvaluationFunction,10000,10000,24.0,19.0,0
5,25,SA,FlipFlopEvaluationFunction,10000,2084,24.0,24.0,1
5,25,GA,FlipFlopEvaluationFunction,10000,10000,24.0,23.0,345
5,25,MIMIC,FlipFlopEvaluationFunction,10000,10000,24.0,22.0,6364
5,25,RHC,FourPeaksEvaluationFunction,10000,10000,46.0,25.0,1
5,25,SA,FourPeaksEvaluationFunction,10000,910,46.0,46.0,0
5,25,GA,FourPeaksEvaluationFunction,10000,123,46.0,46.0,5
5,25,MIMIC,FourPeaksEvaluationFunction,10000,187,46.0,46.0,118
5,25,RHC,SixPeaksEvaluationFunction,10000,491,46.0,46.0,0
5,25,SA,SixPeaksEvaluationFunction,10000,933,46.0,46.0,0
5,25,GA,SixPeaksEvaluationFunction,10000,24,46.0,46.0,1
5,25,MIMIC,SixPeaksEvaluationFunction,10000,80,46.0,46.0,50
5,25,RHC,FlipFlopEvaluationFunction,10000,10000,24.0,22.0,1
5,25,SA,FlipFlopEvaluationFunction,10000,1610,24.0,24.0,1
5,25,GA,FlipFlopEvaluationFunction,10000,10000,24.0,23.0,359
5,25,MIMIC,FlipFlopEvaluationFunction,10000,948,24.0,24.0,605
5,25,RHC,FourPeaksEvaluationFunction,10000,10000,46.0,25.0,1
5,25,SA,FourPeaksEvaluationFunction,10000,766,46.0,46.0,0
5,25,GA,FourPeaksEvaluationFunction,10000,246,46.0,46.0,9
5,25,MIMIC,FourPeaksEvaluationFunction,10000,537,46.0,46.0,345
5,25,RHC,SixPeaksEvaluationFunction,10000,10000,46.0,25.0,1
5,25,SA,SixPeaksEvaluationFunction,10000,1142,46.0,46.0,0
5,25,GA,SixPeaksEvaluationFunction,10000,10000,46.0,25.0,344
5,25,MIMIC,SixPeaksEvaluationFunction,10000,494,46.0,46.0,313
5,25,RHC,FlipFlopEvaluationFunction,10000,10000,24.0,22.0,1
5,25,SA,FlipFlopEvaluationFunction,10000,3825,24.0,24.0,1
5,25,GA,FlipFlopEvaluationFunction,10000,10000,24.0,23.0,351
5,25,MIMIC,FlipFlopEvaluationFunction,10000,2362,24.0,24.0,1510
5,25,RHC,FourPeaksEvaluationFunction,10000,10000,46.0,25.0,1
5,25,SA,FourPeaksEvaluationFunction,10000,889,46.0,46.0,0
5,25,GA,FourPeaksEvaluationFunction,10000,44,46.0,46.0,2
5,25,MIMIC,FourPeaksEvaluationFunction,10000,264,46.0,46.0,171
5,25,RHC,SixPeaksEvaluationFunction,10000,10000,46.0,25.0,2
5,25,SA,SixPeaksEvaluationFunction,10000,837,46.0,46.0,0
5,25,GA,SixPeaksEvaluationFunction,10000,10000,46.0,25.0,358
5,25,MIMIC,SixPeaksEvaluationFunction,10000,294,46.0,46.0,195
5,25,RHC,FlipFlopEvaluationFunction,10000,10000,24.0,19.0,1
5,25,SA,FlipFlopEvaluationFunction,10000,1985,24.0,24.0,0
5,25,GA,FlipFlopEvaluationFunction,10000,10000,24.0,23.0,363
5,25,MIMIC,FlipFlopEvaluationFunction,10000,1291,24.0,24.0,823
5,25,RHC,FourPeaksEvaluationFunction,10000,10000,46.0,25.0,1
5,25,SA,FourPeaksEvaluationFunction,10000,10000,46.0,25.0,2
5,25,GA,FourPeaksEvaluationFunction,10000,284,46.0,46.0,10
5,25,MIMIC,FourPeaksEvaluationFunction,10000,322,46.0,46.0,203
5,25,RHC,SixPeaksEvaluationFunction,10000,10000,46.0,25.0,1
5,25,SA,SixPeaksEvaluationFunction,10000,839,46.0,46.0,0
5,25,GA,SixPeaksEvaluationFunction,10000,136,46.0,46.0,5
5,25,MIMIC,SixPeaksEvaluationFunction,10000,362,46.0,46.0,231
5,25,RHC,FlipFlopEvaluationFunction,10000,10000,24.0,21.0,1
5,25,SA,FlipFlopEvaluationFunction,10000,8247,24.0,24.0,2
5,25,GA,FlipFlopEvaluationFunction,10000,21,24.0,24.0,1
5,25,MIMIC,FlipFlopEvaluationFunction,10000,3282,24.0,24.0,2098
5,25,RHC,FourPeaksEvaluationFunction,10000,10000,46.0,25.0,0
5,25,SA,FourPeaksEvaluationFunction,10000,883,46.0,46.0,1
5,25,GA,FourPeaksEvaluationFunction,10000,44,46.0,46.0,1
5,25,MIMIC,FourPeaksEvaluationFunction,10000,270,46.0,46.0,174
5,25,RHC,SixPeaksEvaluationFunction,10000,10000,46.0,25.0,2
5,25,SA,SixPeaksEvaluationFunction,10000,10000,46.0,25.0,2
5,25,GA,SixPeaksEvaluationFunction,10000,429,46.0,46.0,15
5,25,MIMIC,SixPeaksEvaluationFunction,10000,149,46.0,46.0,100
5,25,RHC,FlipFlopEvaluationFunction,10000,10000,24.0,18.0,0
5,25,SA,FlipFlopEvaluationFunction,10000,957,24.0,24.0,1
5,25,GA,FlipFlopEvaluationFunction,10000,29,24.0,24.0,2
5,25,MIMIC,FlipFlopEvaluationFunction,10000,10000,24.0,23.0,6450
5,25,RHC,FourPeaksEvaluationFunction,10000,10000,46.0,25.0,1
5,25,SA,FourPeaksEvaluationFunction,10000,987,46.0,46.0,0
5,25,GA,FourPeaksEvaluationFunction,10000,129,46.0,46.0,5
5,25,MIMIC,FourPeaksEvaluationFunction,10000,271,46.0,46.0,168
5,25,RHC,SixPeaksEvaluationFunction,10000,10000,46.0,25.0,2
5,25,SA,SixPeaksEvaluationFunction,10000,10000,46.0,25.0,1
5,25,GA,SixPeaksEvaluationFunction,10000,68,46.0,46.0,3
5,25,MIMIC,SixPeaksEvaluationFunction,10000,305,46.0,46.0,193
5,25,RHC,FlipFlopEvaluationFunction,10000,10000,24.0,20.0,1
5,25,SA,FlipFlopEvaluationFunction,10000,4794,24.0,24.0,1
